"Country","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Greece",0,0,0,55004611,85667599,184610045,328603739,450232614,630792029,1051981549,598429098,1103632295,627361282,346225274,428855512,619928282,545568383,577245613,418640726,559960841,376914532,416205515,372170076,375212190,420532361,677516670,838870535
"Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2937617,0,0,0,0,0,0,0,0,0,0,0
"Guernsey C. I.",0,0,0,0,0,0,0,0,7571220,0,1544867,15378489,27910220,46923831,49745008,53553889,0,0,0,0,0,0,0,0,0,0,0
"Gurensey",0,0,0,0,0,0,0,0,0,48509627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong",127936115,176104077,295063392,427830070,410924967,464909249,465805907,687289265,1452133911,2609908743,2100788972,2615407009,3478868306,4361583570,6932779968,6434152286,7087572801,6999740144,7194504631,9731069347,7995653182,9301034894,9957496544,8883436911,8538018695,7086805691,7156920599
"Hungary",0,0,0,0,0,0,96407923,101212906,2830398,4700866,140945286,343995602,308299630,235738746,318358912,193206699,117137959,122415323,66530384,52636590,74061832,89403470,84788631,197647400,163475824,264995505,265195712
"Iceland",0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,1460379,12001409,1863002,1242047,0,0,0
"India",0,0,0,0,0,0,0,118359114,190717736,316605246,1193201484,2646661533,3390475763,1736824472,2573995272,3858018773,4974857270,5414212151,5287524195,8105951063,7396761698,9414706983,12128795983,16339897149,17666721351,23991130556,30812536952
"Indonesia",0,0,0,0,0,0,13249735,24159503,47469111,40167959,225805892,545166893,775135434,741784261,995811954,1054802151,1088253810,1111587973,1376895520,1956176926,1750102280,1865502691,1832916972,1736110623,2298944197,2579519340,2327870327
"Ireland",28851158,56825703,140581739,239041921,316738359,367282607,541132963,459734980,610833228,956146301,500941617,850867477,1050355865,755539443,1076698788,1569579361,1346216990,1359547577,640031310,798741782,730814163,819142982,1228741323,1050759106,891899511,1011578755,1300886280
"Isle of Man",0,0,0,0,0,0,0,0,20147891,10735655,4688369,11297482,2448766,0,17908356,7455216,0,0,0,0,0,0,0,0,0,0,0
"Israel",0,0,0,0,0,0,8220020,11325439,48327522,153848266,380863031,844580331,830750821,559999954,672151410,984614992,1244032760,1499643983,1316787124,1219956177,1216713533,1361955031,1273484262,1598196934,1333938238,1507901664,1954533373
"Italy",324995877,353599797,600207632,631358605,770528594,1234783124,1797337029,2936513881,3757432607,5238775843,4249331458,6830278520,6724682054,5854838459,7493153888,8521551419,8561262865,8338683962,8123179744,11385976482,9036331606,11066811887,10935780889,11779738526,9646876618,11171789956,11276848777
