"Country","2021","2022","2023","2024"
"Netherlands",14286959522,14488668467,13108347810,12288145365
"Germany",NA,NA,2835086913,2909130596
"Spain",NA,NA,1649986637,998282814
"Globally",NA,NA,NA,2284216807
"United Kingdom",NA,NA,NA,6733141043
