Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Germany,4571350952,6239115250,7625605104,12374050347,9204010000,16276174642,20333400609,28728347177,41657464596,63211964000,72617715846,1.01727E+11,1.11312E+11,1.12797E+11,1.48074E+11,2.12994E+11,2.4667E+11,2.72446E+11,2.67186E+11,3.44548E+11,2.67986E+11,3.43344E+11,3.57599E+11,3.62812E+11,3.26204E+11,3.9956E+11,4.49949E+11
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15410393,76082812,17201138,14422803,8601907,4618073,0,0,0,0,0
Gibraltar,0,0,0,0,0,0,0,0,0,29218000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,493352838,593488000,1228173709,1990254276,3048637590,3927531951,5712102000,4190260376,6375463035,3646537431,2066255128,2386688138,3761011902,4090426239,5109402957,3603533798,4580115687,3263759484,3657322715,3186501572,3308733663,4142664294,6880656069,9527346259
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17822079,0,0,0,0,0,0,0,0,0,0,0
Guernsey C. I.,0,0,0,0,0,0,0,0,47141069,0,10817316,88838454,162228155,280039076,276843410,324903407,0,0,0,0,0,0,0,0,0,0,0
Gurensey,0,0,0,0,0,0,0,0,0,263400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,966284864,1415383673,2602016512,3837336206,2846806000,3092948247,2821246613,4653807469,9041493962,14171413000,14709934471,15108683182,20220922038,26029712645,38582653751,39035036783,53139431449,61957149933,61928137498,79593822099,69235560260,81730983949,85255587576,78336811689,84108022120,71971472568,81283652145
Hungary,0,0,0,0,0,0,583913870,685337900,17623049,25525000,986912987,1987193796,1791991600,1406877051,1771746931,1172156062,878247699,1083540873,572673574,430533087,641312523,785615133,725956022,1742914073,1610400336,2691214837,3011920520
Iceland,0,0,0,0,0,0,2365,0,0,0,0,0,0,0,0,0,0,0,0,0,12645640,105459978,15950933,10952743,0,0,0
