Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Greece,0,0,0,5185021695,4733400000,7741145000,14571970300,16639673011,22703384466,18939220543,22811217148,10197818086,5035639742,1621078500,181854011,97634949,104045181,131707209,145384990,0,0,42140202,0,1444829761,139015416,0,124882915
Guernsey,0,0,0,0,0,0,0,0,36559956,31830433,409878500,50861753,27889648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,0,0,0,0,83586000,885717000,894541251,1243551201,1839940382,1396232570,235217189,1325840841,932231024,967482352,2960414307,4325887589,8015423746,5341039308,7120986309,4168361970,3173675024,3622464274,3099103281,5120926340,4830533955,3034531231,2635035640
Hungary,0,0,0,0,94450000,354039000,932480620,1275607101,1516889197,1742250307,2029170017,1308101071,937066504,672901711,248714888,2230952349,2991632118,2198844287,1778978157,353336059,546641759,0,312205824,582309125,302082599,835452706,1528264165
Iceland,0,0,0,0,0,0,16577700,-2254101347,4256357803,3972658746,734865561,747874055,140708351,121378161,82897820,99605756,580222364,646275664,513915771,503779264,976809009,1218649629,1845158014,2159880961,2160349842,2480687645,3167419993
India,0,0,0,0,0,0,0,11339299,62895025,161903179,114390974,181509388,297367641,808055224,7359326904,12835081917,26635632325,33943141510,32506991441,29480415062,18115137749,20826677253,12240606773,7133203864,4905559300,5083100334,6943553774
Indonesia,0,0,0,0,0,0,0,34557694,32230683,26975543,24129258,0,0,329698046,7508670660,9015754574,15968689251,15653959088,21049491996,22817444261,25114255836,26785034967,17035726767,6440731123,6389836330,9458104895,24544315103
International Organisations,4409653585,4543207729,3514134134,4199101223,4127636000,0,10853141025,18823394316,47624617395,66271466475,58604280683,26662753956,28006467539,36325769648,33755157944,47856726365,64895130600,72440221349,58473850735,57374266342,57408625947,49789527745,57155259199,70639931339,90253380170,98289959336,1.00466E+11
Ireland,916910924,529700470,658862586,1144187559,1056693000,1357570000,578541363,1145703903,8691431839,13044558471,26405336740,15895733123,14462365675,13271125845,9446570194,5782187235,3074041258,2992894513,2694930725,7504039308,11066522706,12312501703,16977877694,20090824108,8669437884,9387247215,17398815678
Isle Of Man,0,0,0,0,0,0,0,0,0,0,18047550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man,0,0,0,0,0,0,0,0,0,0,0,16860077,0,0,339853678,340253822,0,0,0,0,0,0,0,0,0,0,0
Israel,53431895,0,69579103,76926377,66890000,169887000,201435646,304804683,610415870,639067748,627279069,689586606,514091137,729310420,5832389083,7694431131,9515590237,11326287540,14325000932,10008282559,1010902100,1017868969,0,4700119364,4717152515,0,0
Italy,7262285270,10030295140,38480770323,43440426270,31853966000,34280790000,34004326997,51106396054,82613017267,63696471672,99063924629,50185888913,71795074543,47006369982,34261519290,44474776983,62715038480,48861536488,48922923500,48641247132,47234788621,55449244399,43251463170,80233308242,81136029886,82620337386,1.22701E+11
Japan,21505331925,26170558917,45172609929,54293830474,29300812000,41248934000,52606462207,78061672809,56967146132,59421410899,66954104403,49675459080,56815408057,68608673787,1.05855E+11,1.45025E+11,2.03892E+11,2.30641E+11,1.9614E+11,2.24432E+11,2.7519E+11,2.83076E+11,3.31208E+11,4.25076E+11,5.25467E+11,3.96747E+11,3.04937E+11
